,participantId,condition,phase,trial,estimate,questionId,label,area,distance,age,socialInfo,rentTruth,manipulationCheck,residentialExperience,gender,participantAge
50,dhps19hah2f4fzq,novice,3,15,8.4,5,ライフヴィラ白山,10.5,6,37,8.2,7.0,4,3,female,21
51,dhps19hah2f4fzq,novice,3,16,9.1,10,コーポ内藤,13.0,4,48,8.0,11.1,4,3,female,21
52,dhps19hah2f4fzq,novice,3,17,10.3,4,レジデンス三葉,13.0,5,33,10.0,7.5,4,3,female,21
53,dhps19hah2f4fzq,novice,3,18,11.7,20,ジャスミンガーデンズ東大前,14.7,8,19,12.6,10.1,4,3,female,21
54,dhps19hah2f4fzq,novice,3,19,10.8,22,プリンスハイムSOLEIL,12.6,4,22,11.4,9.4,4,3,female,21
55,dhps19hah2f4fzq,novice,3,20,11.4,21,ウッドランド中西,15.8,7,8,14.7,14.5,4,3,female,21
56,dhps19hah2f4fzq,novice,3,21,12.5,12,サンセットプレイス犬飼,15.9,9,7,14.8,12.4,4,3,female,21
57,dhps19hah2f4fzq,novice,3,22,8.0,11,はまなすレイクビュー,10.9,5,35,8.7,6.8,4,3,female,21
58,dhps19hah2f4fzq,novice,3,23,6.5,0,ライフホームVIBRANT,7.3,5,18,9.3,5.9,4,3,female,21
59,dhps19hah2f4fzq,novice,3,24,10.0,18,ハイランド竹澤,12.8,3,20,11.8,10.3,4,3,female,21
60,6h3k3qqw18ykdvq,expert,1,1,12.0,6,コーポ内藤,23.3,1,60,11.5,11.7,2,3,male,20
61,6h3k3qqw18ykdvq,expert,1,2,15.0,14,グランポルテWILL,18.5,2,4,16.8,13.8,2,3,male,20
62,6h3k3qqw18ykdvq,expert,1,3,8.0,19,グリーンリッジ本郷,12.5,2,23,11.3,10.1,2,3,male,20
63,6h3k3qqw18ykdvq,expert,1,4,5.0,8,レインボーハウスRaffine,19.0,7,36,12.4,11.8,2,3,male,20
64,6h3k3qqw18ykdvq,expert,1,5,10.0,9,プリンスハイムSOLEIL,15.8,4,24,12.7,8.7,2,3,male,20
65,6h3k3qqw18ykdvq,expert,1,6,3.0,1,リバーサイド黒田,8.7,2,44,6.6,6.0,2,3,male,20
66,6h3k3qqw18ykdvq,expert,1,7,8.0,21,ハートフル文京,15.8,7,8,14.7,14.5,2,3,male,20
67,6h3k3qqw18ykdvq,expert,1,8,3.5,23,ウッドランド中西,12.3,6,52,7.0,6.9,2,3,male,20
68,6h3k3qqw18ykdvq,expert,1,9,3.0,0,ファイブスター後楽園,7.3,5,18,9.3,5.9,2,3,male,20
69,6h3k3qqw18ykdvq,expert,1,10,9.0,3,センチュリーMINERVA,18.4,4,46,10.9,8.5,2,3,male,20
70,6h3k3qqw18ykdvq,expert,1,11,7.5,10,はまなすレイクビュー,13.0,4,48,8.0,11.1,2,3,male,20
71,6h3k3qqw18ykdvq,expert,1,12,8.0,22,サンセットプレイス犬飼,12.6,4,22,11.4,9.4,2,3,male,20
72,6h3k3qqw18ykdvq,expert,1,13,4.0,12,ジャスミンガーデンズ東大前,15.9,9,7,14.8,12.4,2,3,male,20
73,6h3k3qqw18ykdvq,expert,1,14,3.5,17,あじさいテラス,12.5,8,41,8.5,8.3,2,3,male,20
74,6h3k3qqw18ykdvq,expert,1,15,12.0,16,ハイランド竹澤,16.1,2,22,13.2,11.1,2,3,male,20
75,6h3k3qqw18ykdvq,expert,1,16,4.0,5,ライフホームVIBRANT,10.5,6,37,8.2,7.0,2,3,male,20
76,6h3k3qqw18ykdvq,expert,1,17,7.5,18,アーバンネット三丁目,12.8,3,20,11.8,10.3,2,3,male,20
77,6h3k3qqw18ykdvq,expert,1,18,9.0,15,さくらヒルズレジデンス,15.1,5,19,12.9,12.0,2,3,male,20
78,6h3k3qqw18ykdvq,expert,1,19,4.0,11,レジデンス三葉,10.9,5,35,8.7,6.8,2,3,male,20
79,6h3k3qqw18ykdvq,expert,1,20,5.0,7,カーサ・ヴィラJulio,13.3,7,11,13.1,9.1,2,3,male,20
80,6h3k3qqw18ykdvq,expert,1,21,5.6,13,つばき荘,13.4,5,13,13.0,9.6,2,3,male,20
81,6h3k3qqw18ykdvq,expert,1,22,6.4,4,ふたばハイツ,13.0,5,33,10.0,7.5,2,3,male,20
82,6h3k3qqw18ykdvq,expert,1,23,5.0,20,ソレイユ豊川,14.7,8,19,12.6,10.1,2,3,male,20
